Load, Malloc/Free, Mempool,
0, 2, 5
0.25, 4750, 648
0.5, 9060, 1297
0.75, 13470, 1956
1, 17897, 2565
1.25, 22284, 3590
1.5, 26599, 4560
1.75, 30951, 5538
2, 35321, 6513
2.25, 39778, 8099
2.5, 44086, 9155
2.75, 48088, 10370
3, 52804, 11618
3.25, 58455, 13159
3.5, 64883, 14598
3.75, 66513, 16040
4, 69985, 19194
4.25, 77188, 25129
4.5, 80181, 30817
4.75, 84326, 36001
